"day","value"
2013-02-19,167.000163465
2013-02-21,165.677389893
2013-02-22,165.236465369
2013-02-23,165.456927631
2013-02-24,164.464847452
2013-02-25,166.559238941
2013-02-26,166.338776679
2013-02-27,165.567158762
2013-02-28,165.126234238
2013-03-01,165.677389893
2013-03-02,165.456927631
2013-03-03,165.236465369
2013-03-04,165.677389893
2013-03-05,166.669470072
2013-03-06,165.3466965
2013-03-07,166.338776679
2013-03-08,165.567158762
2013-03-09,165.787621024
2013-03-10,166.559238941
2013-03-11,165.236465369
2013-03-12,165.456927631
2013-03-13,165.567158762
2013-03-14,165.016003107
2013-03-15,164.795540845
2013-03-16,165.126234238
2013-03-17,164.575078583
2013-03-18,164.905771976
2013-03-19,164.905771976
2013-03-20,164.795540845
2013-03-21,164.795540845
2013-03-22,165.456927631
2013-03-23,165.456927631
2013-03-24,166.44900781
2013-03-25,165.567158762
2013-03-26,167.110394596
2013-03-27,166.559238941
2013-03-28,166.338776679
2013-03-29,164.023922928
2013-03-30,166.008083286
2013-03-31,165.677389893
2013-04-01,164.134154059
2013-04-02,164.905771976
2013-04-03,165.3466965
2013-04-04,165.3466965
2013-04-05,165.567158762
2013-04-06,165.126234238
2013-04-07,164.575078583
2013-04-08,165.236465369
2013-04-09,165.3466965
2013-04-10,166.228545548
2013-04-11,165.016003107
2013-04-12,165.016003107
2013-04-13,163.913691797
2013-04-14,164.905771976
2013-04-15,164.575078583
2013-04-16,164.464847452
2013-04-17,164.464847452
2013-04-18,163.693229535
2013-04-19,164.134154059
2013-04-20,162.811380487
2013-04-21,162.480687094
2013-04-22,162.921611618
2013-04-23,164.354616321
2013-04-24,162.260224832
2013-04-25,163.913691797
2013-04-26,164.354616321
2013-04-27,164.023922928
2013-04-28,164.134154059
2013-04-29,164.795540845
2013-04-30,164.905771976
2013-05-01,163.803460666
2013-05-02,163.362536142
2013-05-03,161.929531439
2013-05-04,162.921611618
2013-05-05,163.14207388
2013-05-06,164.134154059
2013-05-07,163.14207388
2013-05-08,163.031842749
2013-05-09,162.149993701
2013-05-10,161.488606915
2013-05-11,163.14207388
2013-05-12,163.472767273
2013-05-13,161.598838046
2013-05-14,161.819300308
2013-05-15,162.590918225
2013-05-16,161.268144653
2013-05-17,163.362536142
2013-05-18,162.811380487
2013-05-29,163.582998404
2013-05-30,165.456927631
2013-05-31,161.929531439
2013-06-01,162.03976257
2013-06-02,162.480687094
2013-06-03,161.598838046
2013-06-04,161.709069177
2013-06-05,162.260224832
2013-06-06,163.031842749
2013-06-07,163.803460666
2013-06-08,164.023922928
2013-06-09,164.795540845
2013-06-10,164.134154059
2013-06-11,163.14207388
2013-06-12,162.260224832
2013-06-13,162.149993701
2013-06-14,162.260224832
2013-06-15,162.260224832
2013-06-16,163.803460666
2013-06-17,163.693229535
2013-06-18,162.370455963
2013-06-19,162.590918225
2013-06-20,162.480687094
2013-06-21,162.03976257
2013-06-22,162.370455963
2013-06-23,162.149993701
2013-06-24,160.827220129
2013-06-25,161.047682391
2013-06-26,161.488606915
2013-06-27,160.055602212
2013-06-28,160.716988998
2013-06-29,160.496526736
2013-06-30,160.93745126
2013-07-01,161.598838046
2013-07-02,161.709069177
2013-07-03,160.827220129
2013-07-04,160.165833343
2013-07-05,161.488606915
2013-07-06,161.709069177
2013-07-07,160.93745126
2013-07-08,160.827220129
2013-07-09,160.827220129
2013-07-10,160.606757867
2013-07-11,160.93745126
2013-07-12,161.819300308
2013-07-13,159.83513995
2013-07-14,160.827220129
2013-07-15,160.165833343
2013-07-16,160.386295605
2013-07-17,159.394215426
2013-07-18,160.386295605
2013-07-19,160.386295605
2013-07-20,160.165833343
2013-07-21,160.716988998
2013-07-22,160.827220129
2013-07-23,159.83513995
2013-07-24,159.945371081
2013-07-25,160.386295605
2013-07-26,160.496526736
2013-07-27,160.165833343
2013-07-28,160.606757867
2013-07-29,159.945371081
2013-07-30,159.724908819
2013-07-31,160.165833343
2013-08-01,159.724908819
2013-08-02,158.181672985
2013-08-03,158.843059771
2013-08-04,158.843059771
2013-08-05,159.283984295
2013-08-06,159.173753164
2013-08-07,158.953290902
2013-08-08,158.512366378
2013-08-09,157.740748461
2013-08-10,157.410055068
2013-08-11,158.291904116
2013-08-12,157.850979592
2013-08-13,157.079361675
2013-08-14,156.858899413
2013-08-15,157.740748461
2013-08-16,157.520286199
2013-08-17,157.189592806
2013-08-18,158.512366378
2013-08-19,159.394215426
2013-08-20,159.283984295
2013-08-21,158.622597509
2013-08-22,157.740748461
2013-08-23,157.850979592
2013-08-24,158.291904116
2013-08-25,157.189592806
2013-08-26,157.520286199
2013-08-27,156.087281496
2013-08-28,156.197512627
2013-08-29,156.969130544
2013-08-30,157.189592806
2013-08-31,158.402135247
2013-09-01,159.173753164
2013-09-02,157.740748461
2013-09-03,157.520286199
2013-09-04,157.520286199
2013-09-05,157.63051733
2013-09-06,157.740748461
2013-09-07,157.520286199
2013-09-08,157.410055068
2013-09-09,157.299823937
2013-09-10,157.410055068
2013-09-11,157.961210723
2013-09-12,156.417974889
2013-09-13,156.197512627
2013-09-14,157.079361675
2013-09-15,157.189592806
2013-09-16,156.638437151
2013-09-17,156.52820602
2013-09-18,156.748668282
2013-09-19,156.748668282
2013-09-20,156.52820602
2013-09-21,156.52820602
2013-09-22,156.417974889
2013-09-23,156.638437151
2013-09-24,157.189592806
2013-09-25,157.189592806
2013-09-26,157.410055068
2013-09-27,157.299823937
2013-09-28,156.748668282
2013-09-29,156.197512627
2013-09-30,157.299823937
2013-10-06,158.843059771
2013-10-07,156.969130544
2013-10-08,156.638437151
2013-10-09,155.646356972
2013-10-10,156.858899413
2013-10-11,157.079361675
2013-10-12,157.520286199
2013-10-13,157.189592806
2013-10-14,157.520286199
2013-10-15,156.52820602
2013-10-16,157.189592806
2013-10-17,155.977050365
2013-10-18,156.52820602
2013-10-19,156.52820602
2013-10-20,156.638437151
2013-10-22,155.095201317
2013-10-23,155.866819234
2013-10-24,155.756588103
2013-10-25,156.307743758
2013-10-26,156.969130544
