"day","value"
2013-05-26,9532
2013-05-27,10499
2013-05-28,6781
2013-05-29,8238
2013-05-30,4521
2013-05-31,7400
2013-06-01,7125
2013-06-02,7097
2013-06-03,7137
2013-06-04,879
2013-06-05,7018
2013-06-06,7266
2013-06-07,7168
2013-06-08,6823
2013-06-09,6915
2013-06-10,9048
2013-06-11,7439
2013-06-12,7536
2013-06-13,7227
2013-06-14,5580
2013-06-15,8255
2013-06-16,8191
2013-06-17,7797
2013-06-18,6159
2013-06-19,7584
2013-06-20,6542
2013-06-21,7873
2013-06-22,6498
2013-06-23,5158
2013-06-24,5750
2013-06-25,7560
2013-06-26,6635
2013-06-27,6315
2013-06-28,4688
2013-06-29,6712
2013-06-30,6647
2013-07-01,5454
2013-07-02,5528
2013-07-03,5414
2013-07-04,3713
2013-07-05,6886
2013-07-06,6306
2013-07-07,5679
2013-07-08,4725
2013-07-09,5886
2013-07-10,6790
2013-07-11,5762
2013-07-12,5934
2013-07-13,3582
2013-07-14,7591
2013-07-15,5090
2013-07-16,5122
2013-07-17,6421
2013-07-18,5068
2013-07-19,6081
2013-07-20,6166
2013-07-21,8022
2013-07-22,6357
2013-07-23,7654
2013-07-24,8375
2013-07-25,6894
2013-07-26,3809
2013-07-27,4152
2013-07-28,6320
2013-07-29,6809
2013-07-30,6344
2013-07-31,6563
2013-08-01,9191
2013-08-02,8403
2013-08-03,5646
2013-08-04,9783
2013-08-05,4741
2013-08-06,7997
2013-08-07,6120
2013-08-08,4962
2013-08-09,7402
2013-08-10,6725
2013-08-11,7185
2013-08-12,8028
2013-08-13,6041
2013-08-14,6555
2013-08-15,7178
2013-08-16,8623
2013-08-17,6497
2013-08-18,4989
2013-08-19,8334
2013-08-20,5945
2013-08-21,5969
2013-08-22,5052
2013-08-23,7117
2013-08-24,5855
2013-08-25,6807
2013-08-26,6810
2013-08-27,5635
2013-08-28,6547
2013-08-29,5010
2013-08-30,5136
2013-08-31,4286
2013-09-01,5078
2013-09-02,6557
2013-09-03,5624
2013-09-04,5894
2013-09-05,5245
2013-09-06,5461
2013-09-07,5550
2013-09-08,6029
2013-09-09,6495
2013-09-10,6222
2013-09-11,5368
2013-09-12,8538
2013-09-13,7604
2013-09-14,6009
2013-09-15,6784
2013-09-16,6798
2013-09-17,7505
2013-09-18,7053
2013-09-19,5553
2013-09-20,5987
2013-09-21,4678
2013-09-22,4557
2013-09-23,6062
2013-09-24,4401
2013-09-25,5943
2013-09-26,7153
2013-09-27,6807
2013-09-28,6767
2013-09-29,6762
2013-09-30,16680
2013-10-01,8559
2013-10-02,9169
2013-10-03,9185
2013-10-04,13285
2013-10-05,9648
2013-10-06,6990
2013-10-07,5139
2013-10-08,5164
2013-10-09,5227
2013-10-10,6214
2013-10-11,4635
2013-10-12,4763
2013-10-13,5120
2013-10-14,6087
2013-10-15,5678
2013-10-16,5591
2013-10-17,6562
2013-10-18,7041
2013-10-19,7692
2013-10-20,2622
2013-10-21,6387
2013-10-22,5655
2013-10-23,6797
