,Date,Weight,Steps
151,2012-12-18,170.417328526,10283
152,2012-12-19,170.307097395,10524
153,2012-12-20,170.637790788,10895
154,2012-12-21,170.417328526,10877
155,2012-12-22,170.086635133,17273
156,2012-12-23,170.417328526,10065
157,2012-12-24,170.417328526,10248
158,2012-12-25,170.637790788,12066
159,2012-12-26,169.75594174,10671
160,2012-12-27,170.417328526,11021
161,2012-12-28,170.637790788,10505
162,2012-12-29,170.196866264,10506
163,2012-12-30,169.866172871,10224
164,2012-12-31,169.866172871,11912
165,2013-01-01,169.866172871,11022
166,2013-01-02,169.425248347,10883
167,2013-01-03,169.204786085,11633
168,2013-01-04,168.874092692,11079
169,2013-01-05,169.53547947799998,10845
170,2013-01-06,169.425248347,10302
171,2013-01-07,169.75594174,10886
172,2013-01-08,170.85825305,11757
173,2013-01-09,170.527559657,11069
174,2013-01-10,169.645710609,10965
175,2013-01-11,170.196866264,4883
176,2013-01-12,169.866172871,3626
177,2013-01-13,168.102474775,4009
178,2013-01-14,168.212705906,3403
179,2013-01-15,168.874092692,4825
180,2013-01-16,168.65363043,3120
181,2013-01-17,168.543399299,3138
182,2013-01-18,167.771781382,4920
183,2013-01-19,167.661550251,9471
184,2013-01-20,169.75594174,10549
185,2013-01-21,169.645710609,9383
186,2013-01-22,168.874092692,5472
187,2013-01-23,167.882012513,9187
188,2013-01-24,167.99224364399998,11602
189,2013-01-25,167.441087989,10873
190,2013-01-26,168.98432382299998,12095
191,2013-01-27,168.98432382299998,8648
192,2013-01-28,169.53547947799998,10605
193,2013-01-29,168.65363043,12679
194,2013-01-30,168.212705906,11511
195,2013-01-31,167.882012513,6142
196,2013-02-01,167.220625727,9604
197,2013-02-02,167.882012513,12260
198,2013-02-03,168.65363043,11612
199,2013-02-04,169.315017216,9207
200,2013-02-05,169.094554954,11253
201,2013-02-06,168.763861561,10795
202,2013-02-07,167.661550251,10166
203,2013-02-08,167.661550251,9913
204,2013-02-09,167.55131912,6314
205,2013-02-10,167.882012513,8551
206,2013-02-11,166.669470072,10655
207,2013-02-12,166.779701203,8758
208,2013-02-13,165.897852155,8631
209,2013-02-14,165.56715876200002,7439
210,2013-02-15,166.44900781,9720
211,2013-02-16,165.3466965,9953
212,2013-02-17,166.118314417,5048
213,2013-02-18,166.889932334,12195
214,2013-02-19,167.000163465,7164
215,2013-02-21,165.677389893,11779
216,2013-02-22,165.236465369,6358
217,2013-02-23,165.456927631,10575
218,2013-02-24,164.46484745200001,7921
219,2013-02-25,166.559238941,7320
220,2013-02-26,166.338776679,6640
221,2013-02-27,165.56715876200002,5176
222,2013-02-28,165.126234238,62
223,2013-03-01,165.677389893,7281
224,2013-03-02,165.456927631,8781
225,2013-03-03,165.236465369,10560
226,2013-03-04,165.677389893,8081
227,2013-03-05,166.669470072,9779
228,2013-03-06,165.3466965,6353
229,2013-03-07,166.338776679,8026
230,2013-03-08,165.56715876200002,7189
231,2013-03-09,165.787621024,5932
232,2013-03-10,166.559238941,5689
233,2013-03-11,165.236465369,7666
234,2013-03-12,165.456927631,8282
235,2013-03-13,165.56715876200002,10270
236,2013-03-14,165.01600310700002,5861
237,2013-03-15,164.795540845,8242
238,2013-03-16,165.126234238,7570
239,2013-03-17,164.575078583,3777
240,2013-03-18,164.905771976,4536
241,2013-03-19,164.905771976,629
242,2013-03-20,164.795540845,7808
243,2013-03-21,164.795540845,5258
244,2013-03-22,165.456927631,7109
245,2013-03-23,165.456927631,7812
246,2013-03-24,166.44900781,12159
247,2013-03-25,165.56715876200002,7508
248,2013-03-26,167.110394596,7891
249,2013-03-27,166.559238941,5703
250,2013-03-28,166.338776679,6008
